Aufbau-Workshop Systemakkreditierung	Kathii (Uni Frankfurt)	01.310	b1	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_WS_Aufbau-Workshop_Systemakkreditierung
Austausch 1		02.210	05	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Austausch
Austausch 2		02.210	b1	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Austausch
Barrierefreies Studieren	Paula (Düsseldorf)	01.310	04	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Barrierefreies_Studieren
CHE	Christian (Oldenburg) & Niklas (Konstanz)	01.310	01	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_CHE
Der StAPF stellt sich vor	StAPF	02.116	b1	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_StAPF
Einführung in die Akkredirierung	Margret (Uni München)	02.210	02	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_WS_Einführung_in_die_Akkreditierung
Einführung in die Systemakkreditierung	Kathii (Uni Frankfurt)	02.116	03	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_WS_Einführung_in_die_Systemakkreditierung
Flüchtlinge an Hochschulen	Timo (RWTH)	__.102	03	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Fluechtlinge_an_Hochschulen
Frauenquote	Adriana (WWU)	01.114	04	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Frauenquote
"Gläserne Decke"	Mascha (TU Berlin), Martin/Opa (FU Berlin/Alter Sack), Thomi (Uni Heidelberg)	01.402	02	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Glaeserne_Decke
Gremienworkshop A	Tobi (Düsseldorf)	01.114	01	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Gremienworkshop
Gremienworkshop A	Tobi (Düsseldorf)	02.116	01	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Gremienworkshop
Gremienworkshop B	Tobi (Düsseldorf)	02.116	04	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Gremienworkshop
KFP-Resolution		01.114	02	
Kommunikation GDCP und DPG	Lea (Kiel)	01.114	b1	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Kommunikation_GDCP_DPG
(Master-) Wechseldatenbank	Claire (Düsseldorf)	01.114	05	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Wechsel_Datenbank
MeTaFa	Christian (Oldenburg)	02.114	04	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_MeTaFa
Mitgliederversammlung ZaPF e.V.	Zoë Lange (Uni Frankfurt)	02.114	b1	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_ZaPF_e.V._Mitgliederversammlung
Musterlösungen	BenniD (HUB)	02.210	04	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Musterlösungen
Novelle des Wissenschaftszeitvertragsgesetzes	Tobi (Düsseldorf)	02.210	03	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_WissZeitVG
Praktika	Eve (Konstanz)	02.114	05	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Praktika
Satzungsänderung	Björn RWTH & Jörg (FU Berlin)	01.431	01	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Satzungsaenderung
Studienführer	Niklas (Konstanz) , Fabs (TU Berlin)	01.114	03	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Studienfuehrer
Transparenz in der Forschung		01.310	02	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Transparenz_in_der_Forschung
Übungen		__.102	02	
Überarbeitung der Akkreditierungsrichtlinien	Margret (LMU), BenniD (HUB)	01.402	05	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Überarbeitung_Akkreditierungsrichtlinien
Vernetzung und Austausch der Orgas	Kathii (Uni frankfurt), Kappa (Uni Frankfurt), Niklas (Konstanz)	02.116	05	https://vmp.ethz.ch/zapfwiki/index.php/WiSe15_AK_Vernetzung_und_Austausch_der_Orgas
